Reading no,start(keV),end(keV),net count,gross count,centroid,time,width,comments,peak,net per unit time,net per unit gross,N_0,mu,,gross per unit time,N_0 gross,mu_gross,mu_m,mu_m_for_gross,,mu_m_net avg,mu_m_gross_avg,mu_m_net sd,mu_m_gross_sd,
No barrier,,,,,,,,,,,,,,,,,,,,,,,,,
,630,700,522,1213,660.816,439,3.4,,642.84,1.189066059,,125.606095,1.370584041,,2.76309795,553.976298,1.559050874,0.12086279,0.13748244,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
35,590,740,352,1918,653.384,721,3.8,,647.88,0.488210818,,682.899549,1.906147529,,2.660194175,784.057562,1.496338722,0.168090611,0.131952268,,,,,,
,600,740,586,1771,658.11,721,3.8,,647.88,0.812760055,,684.199774,1.772519426,,2.45631068,780.214447,1.516029523,0.156306828,0.13368867,,,,,,
,630,700,292,1121,660.816,721,3.8,,647.88,0.404993065,,125.606095,1.509747362,,1.554785021,553.976298,1.54626015,0.133134688,0.136354511,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
36,590,740,486,1381,652.475,505,3.8,,655.93,0.962376238,,682.899549,1.727553157,,2.734653465,784.057562,1.489074084,0.152341548,0.131311648,,,,,,
,600,740,592,1289,656.62,505,3.8,,655.93,1.172277228,,684.199774,1.676133163,,2.552475248,780.214447,1.505923445,0.147807157,0.132797482,,,,,,
,630,700,286,805,659.851,505,3.8,,655.93,0.566336634,,125.606095,1.421505535,,1.594059406,553.976298,1.53969526,0.125353222,0.135775596,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
37,590,740,3562,7188,650.685,690,Cu 1.3|Pb 1|Cu 1,,655.01,5.162318841,,682.899549,,,10.4173913,784.057562,,,,,,,,,
,600,740,4121,6799,653.838,690,,,655.01,5.972463768,,684.199774,,,9.853623188,780.214447,,,,,,,,,
,630,700,2019,5001,660.434,690,,,655.01,2.926086957,,125.606095,,,7.247826087,553.976298,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
38,590,740,4469,9218,650.685,870,Pb 1|Cu 1.3|Cu 1,,653.02,5.136781609,,682.899549,,,10.5954023,784.057562,,,,,,,,,
,600,740,5167,8534,653.838,870,,,653.02,5.93908046,,684.199774,,,9.809195402,780.214447,,,,,,,,,
,630,700,2573,6297,660.434,870,,,653.02,2.957471264,,125.606095,,,7.237931034,553.976298,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
